,作者名字,分数,评论次数,评论,date
61,_听说改名能中奖_,10,3,还有两分钟，兄弟们加油,2018-07-07 16:28:19
62,血瞳与紫瞳,10,0,期待，有UP说过，我还特别感兴趣呢！速度开播！哈切～,2018-07-07 16:28:24
63,一叶知秋不知修,10,0,坐等开播ing,2018-07-07 16:28:25
64,RK白泽,10,0,要开始了！,2018-07-07 16:28:29
65,d-__-b,8,0,肝肝肝！,2018-07-07 16:28:30
66,參宿七,8,0,刚才只有十几个短评，不一会就有快六十个了。还有两分钟,2018-07-07 16:28:58
67,Robotto君,10,0,红细胞！红细胞！,2018-07-07 16:28:58
68,千羽燃雪,8,0,快了,2018-07-07 16:29:04
69,_____杉杉,10,0,在线等,2018-07-07 16:29:07
70,七里ひろし,10,0,倒計時,2018-07-07 16:29:13
71,提督Ursaf,10,0,来了!,2018-07-07 16:29:19
72,凉城旧风,10,0,在下定了闹钟的说（｡ò ∀ ó｡）,2018-07-07 16:29:37
73,腐烂之人,10,0,还有一分钟惹,2018-07-07 16:29:45
74,巨根王子总裁浩,8,0,29了,2018-07-07 16:29:51
75,子非鱼--誓言,10,0,当你想和自己的细胞papapa时。。。,2018-07-07 16:29:52
76,墨丨笙丨人,10,0,等着,2018-07-07 16:30:21
77,绯雨墨泪,10,0,第一？,2018-07-07 16:30:39
78,かおすさいこう,10,0,血小板好萌啊！不过香菜也可爱啊！,2018-07-07 16:32:03
79,月影一族,10,0,等,2018-07-07 16:32:07
80,G桑,10,0,隔壁霸王已经更新了，为社么细胞还没出来？,2018-07-07 16:32:43
81,我想我可以弯腰呀,10,0,哇哇哇！,2018-07-07 16:32:49
82,云凃酒,10,0,还没来QAQ,2018-07-07 16:32:50
83,滚乃乃,10,0,先打分，再看番,2018-07-07 16:33:14
84,ピアノなな,10,1,炒鸡好看啊(｡･ω･｡)ﾉ,2018-07-07 16:34:34
85,Minecraft奢望,10,0,五星了解一下？,2018-07-07 16:35:01
86,叶夜耶耶耶耶耶耶,8,0,喜欢,2018-07-07 16:35:06
87,薛定快乐猫,10,0,物生班的学弟学妹们，好好看好好学，生物能考A哦(´-ω-`),2018-07-07 16:36:16
88,晚林忆夕,10,0,超级棒！！！漫画也强推！！！,2018-07-07 16:36:17
89,夏家的汪汪汪,10,0,等你好久了啊 血小板 老婆老婆,2018-07-07 16:36:25
90,はにゅうゆづる,10,0,兄弟们，为了细胞我先走一步了,2018-07-07 16:37:43
91,愚-昧,10,0,可还行，从漫画追过来的。,2018-07-07 16:37:51
92,何萧吟三笙,10,0,不说啥，就因为这个脑洞，五分！,2018-07-07 16:39:54
93,balaba大丁丁,10,0,早点出的话我就不会挂科了,2018-07-07 16:40:18
94,非奸即盗才好玩,10,0,香菜,2018-07-07 16:40:26
95,齐照大法好,10,0,突然觉得自己拥有众多的老婆/老公（∪･ω･∪）,2018-07-07 16:40:56
96,Believer-信徒,10,0,很中二，不过我喜欢!,2018-07-07 16:40:56
97,吃玫瑰花的吸血鬼,10,0,有趣，喜欢,2018-07-07 16:41:23
98,打开雷总的大腿,10,0,某个ID是岛应援在好几个番下面评一星啊，这回更是刚开播就评分，不知道是不是哪里有问题,2018-07-07 16:41:49
99,二进制の2,10,0,去死吧！杂菌！！,2018-07-07 16:42:03
100,233uuz,8,0,终于有新番补了好激动！！感觉这总轻松类型的番很适合社畜呢,2018-07-07 16:42:42
101,茗霜霜霜霜,10,0,只为了血小板(•̀⌄•́),2018-07-07 16:42:45
102,南岸梦乡,10,0,没有想到我体内的帅哥美女这么多，不仅好看，而且长知识啊！！！,2018-07-07 16:43:03
103,唔姆姆姆姆,10,0,看漫画的时候就非常期待动画化了！！！白血球桑超帅气的！！！！,2018-07-07 16:43:11
104,是闰土的迅哥儿啦,10,0,来巩固生物了！！！,2018-07-07 16:44:15
105,逆星之火,10,0,期待呀,2018-07-07 16:46:10
106,王孤独的巡礼,10,0,这个番的漫画设定还是比较有趣的 如果病原体是以细菌之类的形象是以人型出现的如果病原体是病毒的话那就是用一些奇怪的饰品来表示 非常符和生物课堂上的那些知识 总之非常有趣是不会让大家失望的番剧,2018-07-07 16:47:04
107,佣兵团职业机皇,10,0,真的快乐！看完后感觉捡起了必修三噫呜呜呜呜,2018-07-07 16:47:25
108,弓雨爱,10,0,血小板超级可爱的说！,2018-07-07 16:47:49
109,三金thrld,10,0,贼好看,2018-07-07 16:48:06
110,课堂上烤吐司,10,0,我只想说，如果我身体里的细胞全像女主那样，我恐怕早死了。,2018-07-07 16:48:15
111,逍遥的fai,10,2,热血番无脑给满星，但这部热血还给了我很多不同的感受。六星。,2018-07-07 16:48:28
112,骑着宝马吃油条,10,0,生物狗的必备,2018-07-07 16:48:45
113,听锡秋枫,8,0,感觉不是学医的人，有点无法理解的样子。不过确实是蛮补知识的,2018-07-07 16:48:50
114,洛叫兽,4,0,先给个保底，期待接下来的表现,2018-07-07 16:49:49
115,在你身旁l,10,0,兴奋到舔血,2018-07-07 16:50:09
116,上層建築,10,0,哇做成动漫贼开心!以前看过漫画的!!巨喜欢白细胞,2018-07-07 16:50:33
117,苦涩的何苦,10,0,看B站，涨姿势，我有B站我自豪。,2018-07-07 16:51:01
118,新条喵内,10,0,当你还是个单身狗的时候，你体内的细胞就开始找对象了,2018-07-07 16:53:46
119,真炮灰,10,0,可以,2018-07-07 16:53:49
120,请输入旧的昵称,10,0,巨大的脑洞，合理的剧情。5星⭐,2018-07-07 16:54:12
121,街边的饺子馅,10,0,好看,2018-07-07 16:54:13
122,冷语の冰心,10,0,被血小板萌出血的同志们，不要叫医疗兵了，因为血小板就是医疗兵O(∩_∩)O。（趁没人主要偷偷抱走一只血小板）,2018-07-07 16:54:13
123,_正始之音,10,0,又复习了一遍生物_(:з」∠)_,2018-07-07 16:54:35
124,君有疾.,10,0,很棒呢    血小板很可爱啊(●'◡'●)ﾉ,2018-07-07 16:54:36
125,緖山まひろ,10,9981,我有个想法，动物体内的细胞会不会是兽耳呢d(ŐдŐ๑),2018-07-07 16:54:37
126,出生单推马自立,10,0,好看啊，贼好看,2018-07-07 16:54:55
127,红烧清蒸狮子头,10,0,好看,2018-07-07 16:54:59
128,暴走的傻猪,10,0,不错，涨知识,2018-07-07 16:55:11
129,超高校级の欧萌,10,0,好可爱的血小板啊～,2018-07-07 16:55:12
130,今天也要威严满满呐,10,0,o(*≧▽≦)ツ ~ ┴┴终于等到动漫了,2018-07-07 16:55:12
131,你站在此地不要走动啊,10,0,看动漫，学知识，我有知识我自豪,2018-07-07 16:55:14
132,终焉ノE记,10,0,當初學生物時要是有這番我絕對滿分(｡･ˇ_ˇ･｡:),2018-07-07 16:55:15
133,黑白本一色只因事无常,10,0,那么，去退治掉所有的杂菌了！,2018-07-07 16:55:18
134,梅大刁,10,0,可以说是我看的所有拟人类动漫中最好看的了,2018-07-07 16:55:21
135,猫耳绯月,10,0,非常有意思,2018-07-07 16:55:24
136,比企谷血奶,10,38,作为一个医学生能一边学知识一边找老婆也是很nice了,2018-07-07 16:55:55
137,辰月月,10,0,虽然感觉有点羞耻但是好棒！！,2018-07-07 16:55:56
138,龍HCL,10,0,至今为止七月里观感最佳~\(≧▽≦)/~,2018-07-07 16:55:58
139,今天的榴莲仍然没有猫,10,0,喜欢白细胞| ू•ૅω•́)ᵎᵎᵎ,2018-07-07 16:56:03
140,涼風寧寧,10,0,强行温习了高中生物初中生物的说！！，怀念慢慢，感觉很适合放到学校里学欸，至少至少可以提升积极性！！！,2018-07-07 16:56:05
141,fourseaon,10,0,老铁霸主,2018-07-07 16:56:08
142,CNife,10,0,有意思有意思，要是我们的科普也能有这么高的水平就好了,2018-07-07 16:56:15
143,奶油小夕酱,10,0,赞赞赞,2018-07-07 16:56:22
144,ftjcdhvd,10,0,很长知识,2018-07-07 16:56:24
145,萤火破风呀,10,0,狗粮搞笑战斗科普番？！！我tm吹爆！！！,2018-07-07 16:56:25
146,柒几c,10,0,真的好看,2018-07-07 16:56:36
147,挂逼桐姥爷,10,0,血小板太萌了,2018-07-07 16:56:49
148,那你能帮帮我吗-,10,0,棒棒哒,2018-07-07 16:56:52
149,弹幕笑死我了233,10,0,好看呐！白血球是我的！！,2018-07-07 16:57:03
150,某科学の逢坂大河,10,0,很欢快呢,2018-07-07 16:57:06
151,Evan-Young,10,0,感谢身体细胞,2018-07-07 16:57:07
152,N1运载火箭,10,0,好看！没的说,2018-07-07 16:57:14
153,浮梦止水,10,0,这番太可爱了,2018-07-07 16:57:36
154,小士道凡,8,0,看了第一集，连细胞都虐我,2018-07-07 16:57:37
155,三块一两的萝卜,10,0,真的炒鸡棒啊,2018-07-07 16:57:49
156,南国佳木兰,10,0,理科生留下了欣慰的眼泪。。。学的生物总算。。唉。。,2018-07-07 16:57:49
157,隐风花,10,1,工作细胞赛高,2018-07-07 16:57:53
158,千夜一蔺,10,0,有新意，人体工能拟人化,2018-07-07 16:57:58
159,王洛克服装饰演,10,0,幽默风趣的番剧,2018-07-07 16:57:58
160,我是炮姐抢来的逗比,10,0,用动漫的方式让我们学生物很强,2018-07-07 16:58:01
161,独觉夜空,10,0,才看第一集我就觉得，这是很好看的一部番,2018-07-07 16:58:03
162,卡罗尔的星期二,10,0,满昏，高调承包一手血小板,2018-07-07 16:58:08
163,bi就是我,10,0,好看,2018-07-07 16:58:12
164,屋里番茄,10,0,好可爱啊,2018-07-07 16:58:14
165,喵姫_ya,8,0,好好学学生物吧,2018-07-07 16:58:15
166,温下寒暑,10,0,有趣,2018-07-07 16:58:19
167,阿尔托莉雅セイバー,10,0,生物赛高,2018-07-07 16:58:20
168,墨水寒秋,10,0,完美的将初中生物第二本书的知识和一些搞笑日常结合在一起，推荐初中生物基础比较差的小伙伴们看看这部番。,2018-07-07 16:58:32
169,星空凛喵ちゃん,10,0,非常好看又能学到知识的一部番！好评！血小板真可爱！,2018-07-07 16:58:34
170,crystalllllllllllllllllll,10,0,好看好看,2018-07-07 16:58:36
171,纽约小短裤,10,0,好看,2018-07-07 16:58:37
172,嗯嗯怪和嘤嘤怪,10,0,好看,2018-07-07 16:58:43
173,橙汁溅haha,10,0,明天考生物了，看个番巩固巩固。,2018-07-07 16:58:43
174,荒年ilive,10,0,血小板我的！不服憋着,2018-07-07 16:58:48
175,骨骼清奇的马猴烧酒,10,0,很温馨可爱，画风也特别棒,2018-07-07 16:58:52
176,zyywxq,10,0,好看,2018-07-07 16:58:53
177,YJCC,10,0,"打个五星,不改了",2018-07-07 16:58:54
178,散华散失散夜,10,0,这番太强了,2018-07-07 16:58:58
179,小小木想,10,0,血小板赛高~,2018-07-07 16:59:00
180,胡丶子夜,10,0,我特么吹爆,2018-07-07 16:59:07
181,叫乌鸦的少年QAQ,8,0,无脑吹香菜，大辅还有ClariS(=^▽^=),2018-07-07 16:59:17
182,Triton_曲拉通,10,0,生物党当然是要给生物番五颗星啦，番里面的知识大多没有问题呢,2018-07-07 16:59:17
183,梦幽魂,10,0,血小板好可爱,2018-07-07 16:59:19
184,赫鲁小二比,10,0,这是我接下来一定会追的一部动漫ʕ •ᴥ•ʔ血小板太萌了！！！,2018-07-07 16:59:20
185,暗黑元首老司机,10,0,我永远喜欢血小板jpg.,2018-07-07 16:59:20
186,削苹菓前进,10,0,欢乐和圣物并存。还附加狗粮！,2018-07-07 16:59:29
187,一千零一只羊驼,10,0,又好看又能科普，喜欢,2018-07-07 16:59:34
188,我是你的恩奇都,10,0,我就是死外面从这跳下去，也不会看撒狗粮秀恩爱的虐狗番!——真香!,2018-07-07 16:59:42
189,物语流心,10,0,这种科普的番真好，血小板真萌\(//∇//)\,2018-07-07 16:59:50
190,MAMUS,8,0,还可以 红细胞小姐请清醒一点我会死的（,2018-07-07 16:59:58
191,神之徽章,10,0,这些都是重点，请考生背熟,2018-07-07 17:00:08
192,沙耶酱QwQ,10,0,保佑我生物90吧,2018-07-07 17:00:12
193,potato7777,10,0,既好看又有科普性！,2018-07-07 17:00:19
194,墨尔本的蓝天,10,0,这番真的脑洞大,2018-07-07 17:00:20
195,白煠行,10,0,ed好好听！而且科普番什么的最喜欢了！,2018-07-07 17:00:28
196,雪樱鸟,10,0,我爱着我身体里的每一个细胞！(*/ω＼*),2018-07-07 17:00:32
197,丨剑所天成丨,10,0,这个番不得了,2018-07-07 17:00:47
198,Linカラ,10,0,个人观感，剧情4.5，画面4.5，人设4.5，音乐4，个人喜爱度4.7。仅个人！观感！,2018-07-07 17:00:50
199,夏日晒干回忆,10,0,喜欢,2018-07-07 17:00:50
200,真卿若离,10,0,日式的人体细胞，血小板好可爱，不过巨细胞才是我的爱啊,2018-07-07 17:01:01
201,祁茶-,10,0,我激情支持小白小红结婚,2018-07-07 17:01:07
202,独以言,10,0,血小板好可爱(●'◡'●)ﾉ,2018-07-07 17:01:11
203,世界第一王子陛下,10,0,角度很新颖，从人体内进行刻画，第三人称的角度也便于接受，出现的各种医学名词都有解释，良心动漫，期待后续发展(血小板是我老婆不容争辩),2018-07-07 17:01:31
204,objectrproject,10,0,吹爆,2018-07-07 17:01:33
205,仓鼠想睡觉,10,0,看新番学生物了解下,2018-07-07 17:01:39
206,屏蔽zz插件开放中,10,0,好好哦,2018-07-07 17:01:39
207,狂三画中仙,10,0,承包血小板,2018-07-07 17:01:47
208,老李醒醒,10,0,补完漫画前来报道！原作和动漫都萌得我原地升天！可爱⁄(⁄ ⁄ ⁄ω⁄ ⁄ ⁄)⁄！！作者脑洞也很有趣！,2018-07-07 17:01:49
209,菁浮,10,0,可爱，有这么多细胞为我工作，我要对自己好点,2018-07-07 17:02:00
210,三上悠亚_,10,0,让我一个理科生在b站补习生物，有点意思，顺便承包血小板罒ω罒,2018-07-07 17:02:01
211,项南顾北,10,0,让我捡起了多年不用的生物知识,2018-07-07 17:02:09
212,Tiramisu丶零尘,10,0,好看！好评！香菜赛高！,2018-07-07 17:02:13
213,ハツトリヘイジ,10,1,非常有趣的一个动画，一定程度上摆脱了普通战斗动画的套路设定，搞成了人体内的器官组织细胞，非常适合日间档放送。,2018-07-07 17:02:14
214,千咲樂,10,0,漫改，节奏把控还不错，大概就是一集一事件。声优卖力，画面没崩，本身剧情就很有意思，还能学生物，真·硬核动漫。,2018-07-07 17:02:18
215,亦凡家迷妹,10,0,血小板什么的太可爱了,2018-07-07 17:02:29
216,jostarXC,10,0,吹就完事了,2018-07-07 17:02:32
217,玄风问,10,0,期待,2018-07-07 17:02:33
218,舞台少女爱城华恋,10,0,当年要是看完这个，生物怎么可能不及格,2018-07-07 17:02:35
219,暮雪丶落星辰,10,0,我喜欢,2018-07-07 17:02:45
220,夜良神sama,10,0,太好看了叭,2018-07-07 17:02:45
221,桐人゙゙゙゙,10,0,感谢陪伴,2018-07-07 17:02:49
222,爆裂摸法师,10,0,我永远喜欢血小板,2018-07-07 17:02:53
223,无语死了537,10,0,血小板舔爆,2018-07-07 17:02:57
224,啟航,10,0,学医人必看,2018-07-07 17:02:59
225,滑小稽被用了,10,0,承包血小板，谁都别抢,2018-07-07 17:03:06
226,刘大人233,10,0,好清奇的脑洞,2018-07-07 17:03:28
227,木清钰,10,0,maenu配战斗番就应该这么帅气（望向重重叠加）目前一切都很合胃口，期待后续的发展。以及靠设定吃香之后接下来还是要看主线发展，我去补漫画了。,2018-07-07 17:03:36
228,不知道叫什么好o,10,0,血小板真可爱,2018-07-07 17:03:53
229,鬼道高,10,0,我站白红！怎么说呢，这部番对于学过细胞生物学，生理学，微生物学的同学来说十分亲切，当然有些地方也可以吐槽一下，比如其实人体是细胞细菌共生体，细菌比细胞多之类的，抱着轻松的心态看这部番，感觉非常棒，追定,2018-07-07 17:03:55
230,婕妤总攻,10,0,太萌了,2018-07-07 17:04:01
231,Shuell泺,10,0,很有意思，将人体内各细胞、组织、器官、系统甚至还有抗原都形象的表现出来，是一部日常生活中常用的科普番。,2018-07-07 17:04:06
232,Styerben,10,0,关注了挺久的新番   角度很新颖   血小板很可爱    就是白细胞长的太像hellsing里的狼尉了有点违和   想想里面的萌妹子都在♂我♂体♂内♂就很兴奋（滑稽）,2018-07-07 17:04:10
233,ddd233,10,0,看番学生物？,2018-07-07 17:04:29
234,暖暖宸,10,0,好好看！虽然是拟人，但是十分精准的还原了人体内部细胞的真实工作情况，作为日本的动漫，我相信里面的生物学知识都是十分可靠的，既得到了科普，剧情也十分有趣，画风也很可爱，十分值得n刷！第一集反转很多呢！,2018-07-07 17:04:39
235,我才不是王厨呢,10,0,,2018-07-07 17:04:42
236,む丶じょう,10,0,本来就对这个题材很感兴趣。。。加上一些描述器官的画面，十分形象的细胞人物。。。真的特别棒！！！,2018-07-07 17:04:48
237,冲沢磐焰,10,0,细节很棒，期待,2018-07-07 17:04:59
238,御坂10425,10,0,追定了,2018-07-07 17:05:04
239,henqileazhejiu,10,0,红细胞状态全程都很懵但是没关系，白细胞很厉害，感谢身体里的细胞们，血小板太可爱了吧也,2018-07-07 17:05:09
240,xhios,10,0,脑洞清奇,2018-07-07 17:05:10
241,苦CHA,10,0,表现手法太棒了！！！一想到身体里有他们在守护着就超安心啊呜呜呜。,2018-07-07 17:05:11
242,白色动物,10,0,有趣 制作质量好,2018-07-07 17:05:20
243,超级云南白药,10,0,吹爆了，看了这个以后 我更要善待我自己的身体了,2018-07-07 17:05:31
244,FT社長,10,0,之前看过漫画！肥肠有意思！血小板萌出血了！！！！,2018-07-07 17:05:31
245,薇尔莉特-Violet,10,0,脑洞很大，科普知识。如果高中生物都这样动画化，高考生物早满分了。,2018-07-07 17:05:47
246,蒹葭苍苍苍老师o(^o^)o,10,43,硬核生物番，你不火谁火！,2018-07-07 17:05:50
247,一穷二白的海岛难民,10,0,被血小板萌哭 为什么我会被一群细胞圈粉啊喂,2018-07-07 17:05:51
248,谙子Anz,10,204,用一种更直观生动的方法让我们认识我们自己。不得不说里面人物塑造得很形象！红细胞凹陷的帽子给我印象很深那个双面凹圆饼状哈哈哈！血小板们很萌，各种白细胞也很帅！期待！！,2018-07-07 17:05:51
249,寒冬君SAMUI,10,0,虽然是第一集，但足以看出人物性格的塑造水平了。主要还是边看边重温知识点，另外还要看最可爱的血小板啊。,2018-07-07 17:06:00
250,day_flight,10,0,超好看！,2018-07-07 17:06:01
251,饲养萝莉专职人员,10,0,好有趣的番,2018-07-07 17:06:06
252,MuMu丶QAQ,10,0,好看,2018-07-07 17:06:09
253,微碳酸综合症,10,0,科普 搞笑 轻松 香菜香菜！,2018-07-07 17:06:35
254,小枫Kn,10,0,完结撒花  好舍不得呀~希望有第二季,2018-07-07 17:06:38
255,科学表哥,4,1,厉害了有生物学家在科普，3星吧看个乐子。,2018-07-07 17:06:38
256,牧师学徒lv1,10,0,作为医学生，我觉得这个科普做的真的很棒了，很形象也很有趣（心疼地抱着组胚差点挂科的自己,2018-07-07 17:06:39
257,dzkell,10,0,说老实话，我就挺喜欢这种科普型动漫,2018-07-07 17:06:48
258,浅梦ミク,8,0,要是我小时候能看见这番 生物肯定满分,2018-07-07 17:06:55
259,K6--X4,10,0,好有爱的番啊，去年流行日石头，今年怕不是要流行日细胞，还有声优真的不要钱,2018-07-07 17:06:57
260,幻の夜丿影,10,0,承包血小板！,2018-07-07 17:06:57
261,祈_罪恶王冠,10,0,脑洞不错，哈哈(ಡωಡ)hiahiahia比哪个手机侠强百倍。,2018-07-07 17:07:22
262,御坂12134,10,0,我需要血小板来给我止血,2018-07-07 17:07:26
263,咕噜的硬币还能改几次,10,0,生动形象的展示出了，细胞也是能谈恋爱的。,2018-07-07 17:07:27
264,洛叫兽,8,0,血小板太萌了,2018-07-07 17:07:31
265,花火君SY,10,0,这番有意思,2018-07-07 17:07:51
266,齋藤桑,10,0,很可爱的一部科普番，首先画风就是我很喜欢的类型，在看番的过程中还能补充知识，赛高！,2018-07-07 17:07:55
267,带带大师兄゙゙,10,0,从有这个番的消息就很想看了，今天终于开更了,2018-07-07 17:07:58
268,likeni,10,0,理科生的福利    血小板好可爱~,2018-07-07 17:08:08
269,艾特一下那个人,10,0,白血球カッコいい！面白いな動画,2018-07-07 17:08:11
270,偷吃瑟维的克利切,10,0,感觉生物有救了ﾟ▽ﾟ)ノ，都超可爱~,2018-07-07 17:08:19
271,索隆么么哒-,8,0,有意思,2018-07-07 17:08:34
272,赤血の约,10,0,怎么说呢，理科生很喜欢啊,2018-07-07 17:08:37
273,猫仔九号,10,0,很好看啊！还能普及知识～血小板好可爱(/ω＼),2018-07-07 17:08:45
274,IonThruster,10,0,血小板超可爱啊！,2018-07-07 17:08:49
275,妹控没妹,10,0,看完第一集我决定以后好好睡觉，用对自己身体的每一部分都要爱护，不说了，睡觉去了……,2018-07-07 17:08:59
276,搞事情的仓鼠君,10,0,承包承包，这个番在未来究竟能带动多少热爱生物的人呢？真的期待啊~感谢B站,2018-07-07 17:09:07
277,露女士保护协会团员,6,0,比想象中的要差点,2018-07-07 17:09:19
278,山头上最帅的狼,10,0,你身体的细胞都在谈恋爱，你呢,2018-07-07 17:09:34
279,哲学的守护者,10,0,大家都喜欢血小板，那巨噬细胞交给我吧！,2018-07-07 17:09:36
280,ChenInori,10,0,很有趣的科普动画 ， 看完后要更加珍惜自己身体了！,2018-07-07 17:09:40
281,南城之南生茯苓,10,0,说血小板是老婆的，怕不是要被安排……这么可爱一定是未成年(=￣ω￣=),2018-07-07 17:09:44
282,MurphyLuis,10,1079,又多了给学生做课件的素材了,2018-07-07 17:09:48
283,桜小陆露娜,8,1,科普性非常的强，剧情也比较欢乐，期待后续发展。,2018-07-07 17:09:49
284,羅Zzzzzz,10,0,牛逼,2018-07-07 17:09:55
285,靑稞RBQ,10,0,可耐！,2018-07-07 17:10:07
286,触角O_o,10,0,可爱ớ ₃ờ,2018-07-07 17:10:22
287,彩彩家的门卫,10,0,先见之明的我睡了一下午,2018-07-07 17:10:23
288,逢田姐の蜜柑,10,0,瞬间想起了高考前和伙伴们一起奋战的时光…,2018-07-07 17:10:30
289,八旗33,10,0,好有意思,2018-07-07 17:10:43
290,情落樱花树,10,0,感谢陪伴，科学从未如此可爱！！！,2018-07-07 17:10:46
291,扬名立万孙一峰,10,0,有意思啊，想起小时候看过一部电影终极细胞战。,2018-07-07 17:10:46
292,屎忽大过人,10,0,我只能说这个主人真的是多灾多难,2018-07-07 17:10:46
293,今天老汪来娶我了嘛,10,0,爱上了每一滴血,2018-07-07 17:10:52
294,爱·工口,10,0,生动形象,2018-07-07 17:11:08
295,卧室下玄晶,10,0,好可爱的番,2018-07-07 17:11:12
296,被人理抛弃的猴,10,0,好看,2018-07-07 17:11:13
297,怪不打我我打怪,10,0,超萌的好吗，追追追,2018-07-07 17:11:32
